eig
  	eigenvalue	percentage of variance	cumulative percentage of variance	
comp 1	3.16119981582283	28.7381801438439	28.7381801438439
comp 2	1.82488444639871	16.5898586036246	45.3280387474686
comp 3	1.66494004368071	15.1358185789156	60.4638573263842
comp 4	1.1648358777768		10.5894170706982	71.0532743970824
comp 5	0.897248007744137	8.15680007040124	79.2100744674836
comp 6	0.781463292789861	7.10421175263509	86.3142862201187
comp 7	0.570489084484316	5.18626440440287	91.5005506245216
comp 8	0.400859867201313	3.64418061092103	95.1447312354426
comp 9	0.320661735562043	2.91510668692766	98.0598379223702
comp 10	0.157071377748335	1.42792161589395	99.4877595382642
comp 11	0.0563464507909368	0.512240461735789	100

var
coord
   			Dim.1	Dim.2	Dim.3	Dim.4	Dim.5	
1	0.1349	0.2185	0.0923	0.1511	0.446	
2	0.164	0.1717	0.2498	0.3567	4.7255	
3	0.5177	0.3233	0.07	0.1574	0.7618	
4	1.4973	0.3309	0.0346	0.0339	0.1628	
5	0.4333	0.5256	7e-04	6e-04	0.2252	
6	0.397	0.0388	0.0368	0.0014	0.5294	
7	0.5045	0.1448	0.0315	0.256	0.7056	
8	0.0591	0.8587	1.712	0.2639	0.0883	
9	0.1888	0.0387	0.6079	0.0134	0.2607	
10	0.193	0.0047	0.0028	0.8993	0.2971	
11	1.5142	0.2377	0.2532	0.04	0.0526	
12	0.0546	0.0225	0.0104	0.1046	0.2524	
13	0.8154	0.4947	0.485	0.3375	0.3124	
14	3e-04	0.001	0.8286	0.0122	0.4351	
15	0.7143	0.5119	0.0162	8e-04	0.2794	
16	6e-04	1.3533	0.0246	0.0577	0.0037	
17	0.0725	0.331	0.0016	0.0867	0.6608	
18	0.0198	0	3e-04	0.0102	0.0762	
19	1.0944	0.0154	0.1721	0.176	0.0047	
20	0.0604	0.4063	0.0036	0.0023	0.3882	
21	0.0123	0.4751	1.2554	0.1781	0.1355	
22	0.5773	0.5906	0.0056	0.0062	0.093	
23	0.017	0.0037	0.0689	9e-04	0.007	
24	1.1351	0.1232	0.0686	0.1536	1.2696	
25	1e-04	0.1107	0.0932	0.1268	1.052	
26	1.1803	0.1169	0.3627	0.4388	0.0016	
27	0.3463	0.271	1.5558	0.2139	0.2052	
28	0.0343	0.2289	0.0072	0.2344	0.1438	
29	0.4688	0.4097	0.6644	0.0245	0.0706	
30	0.6917	0.4431	0.0964	0.2047	0.4781	
31	0.2836	0.0276	0.5384	0.0651	0.0288	
32	0.0147	0.1058	0.1106	0.0144	0.1686	
33	0.0057	0.425	0.053	0.0011	0.7204	
34	0.0771	0.4264	0.3117	0.0769	0.4066	
35	0.1332	0.0735	3e-04	1.6906	0.0687	
36	0.0188	0.0012	1.4323	0.0466	0.0182	
37	0.6373	0.186	0.0846	0.2839	0.5383	
38	0.2691	0.0017	0.2602	0.0793	0.0022	
39	0.0165	1.2269	0.0013	0.06	0.1424	
40	1.6396	0.1166	0.2229	0.1651	0.1049	
41	1.3949	0.0161	0.2715	0.0048	0.0775	
42	3.8942	0.6771	0.2347	1.2004	1.8159	
43	0.4312	1.3311	0.0351	2.1441	0.2928	
44	0.2457	0.3029	0.4856	0.3186	0.2957	
45	0.4689	0.646	0.3303	1e-04	0.1368	
46	0.0025	0.1219	1.3773	0.2187	0.9071	
47	0.0734	0.2085	0.4451	0.0562	0.0048	
48	2.5923	1.1292	0.8764	44.5586	8.6208	
49	1e-04	0.3531	2.0167	7e-04	0.0291	
50	0.0914	0.3229	0.0761	0	0.0032	
51	0.4134	6.1307	0.2165	1.6805	1.7774	
52	0.3806	0.5432	0.0504	0.0255	0.0321	
53	0	0.1488	1.6419	0.0682	0.4624	
54	0.1723	0.18	0.4179	0.1022	0.101	
55	0.0024	2.7052	0.0803	0.5042	0.5462	
56	1.9817	1.2624	3.8783	0.0327	0.4186	
57	2.259	0.0093	0.907	0.6518	0.2365	
58	1.0886	0.0138	0.0114	0.2019	0.0091	
59	0.1313	0.0024	1.1562	2.3407	0.8359	
60	0.3004	1.5312	0.448	0.2847	0.063	
61	0.0301	0.1887	0.3952	0.0211	0.2097	
62	0.1595	0.2568	1.8234	0.0495	1.0773	
63	0.0896	2.4948	0.2569	0.0453	0.0598	
64	0.3815	0.0201	0.2759	0.109	0.5251	
65	0.1267	1.0142	0.1434	0.0032	0.9494	
66	0.0335	0.3968	0.2898	0.0663	0.1676	
67	0.1155	0.2655	0.6841	0.0207	0.1916	
68	1.8751	0.2692	0.0272	0.005	0.0026	
69	0.2164	0.3892	0.0081	0.2918	0.6696	
70	0.3228	5e-04	0.0334	0.0125	7e-04	
71	0.1143	0.0548	0.0081	0.085	0.4591	
72	0.164	0.1717	0.2498	0.3567	4.7255	
73	0.2532	0.0796	0.6849	0.3428	0.0312	
74	0.1851	0.0218	7e-04	0	0.0038	
75	0.1942	4e-04	1e-04	0.6631	0.3959	
76	0.1684	2.6948	0.0957	0.0282	1.4469	
77	0.0227	0.0115	0.034	0.0011	0.201	
78	0.0211	0.1113	0.3524	2e-04	0.0857	
79	1.16	0.0717	0.4158	0.0158	0.2668	
80	1.4418	1.1176	0.554	0.531	0.0151	
81	0	0.4837	0.0097	0.0726	0.0365	
82	0.6045	0.0082	0.0223	0.0017	0.003	
83	0.0139	0.0276	1.0421	0.0607	0.0311	
84	0.0833	0.5415	0.0167	7e-04	0.6094	
85	0.0285	0.368	1.4869	0.1655	0.1542	
86	0.2097	0.0818	0.0397	0.0492	0.0388	
87	0.4384	0.4882	0.9907	0.0858	0.0043	
88	0.2025	0.1875	0.2329	0.0101	0.0255	
89	0.3414	0.104	0.0013	0.0091	0.002	
90	0.0612	2.2135	0.79	1.436	5.2351	
91	0.0292	0.4875	2.0755	0.514	1.3279	
92	1.1129	1.0299	0.4273	0.5034	0.0193	
93	0.0444	0.1408	0.2249	0.0182	0.0496	
94	1.3469	0.1742	0.5704	0.1507	0.184	
95	0.2049	0.0921	1.1964	0.6322	0.2098	
96	0.11	0.031	0.4109	0.3935	0.0307	
97	0.0156	4e-04	0.7658	0.2926	0.1263	
98	0.9071	1.1449	0.0083	0	0.0647	
99	0.4696	0.1333	0	4e-04	0.8361	
100	0.0623	0.2024	0.4372	0.5777	0.5735	
101	0.0509	0.1259	0.1429	0.012	0.3909	
102	0.1692	9.3939	11.0513	6.7951	0.0539	
103	0.2294	0.4281	0.2643	0.218	0.0384	
104	0.0907	0.0135	1.4717	0.0466	0.0702	
105	0.7185	0.8143	0.0875	0.0011	0.4224	
106	0.9066	0.0308	0	0.0031	0.5277	
107	1.3043	0	0.5213	0.7034	5.7899	
108	0.7441	0.0393	1.9647	0.0497	1.5635	
109	0.4163	2.9465	0.0081	0.0135	0.1718	
110	0.1745	0.0399	0.3127	0.0248	0.0276	
111	2.1958	0.1646	0.081	0.0902	0.0228	
112	0.0019	0.8825	0.0481	0.1133	0.0141	
113	0.7964	0.1286	1.0337	0.4688	0.0287	
114	0.0205	0.0107	0.4357	0.0053	0.8639	
115	0.301	0.0509	0.0206	0.028	0.1741	
116	1.8101	0.219	0.0589	0.019	1.063	
117	0.0617	0.3414	0.4014	0.0544	0.5984	
118	0.5245	0.6694	0.0161	0.0682	0.5113	
119	0.041	0.7921	0.3418	0.1512	0.0147	
120	0.1049	0.5835	0.233	0.0291	0.2861	
121	0.0054	1.2372	0.0426	0.001	1.8097	
122	0.2075	0.4117	0.2035	0.2588	0.3454	
123	0.229	0.6636	0.0832	0.1705	4e-04	
124	0.0198	0.332	0.0156	0.0012	0.0022	
125	0.5348	6.6967	0.7385	0.2226	2.9841	
126	0.0572	0.0032	0.1932	0.1719	0.0633	
127	0.0395	0.9441	0.8772	0.0955	0.0277	
128	0.4388	0.1351	0.0324	0.0337	0.2381	
129	3.0344	0.0974	0.1714	0.0581	0.1763	
130	0.0114	0.5064	0.0274	0.0649	0.069	
131	2.6554	0.0051	0.042	2.8171	2.2592	
132	1e-04	2e-04	0.0029	0.251	1.0256	
133	5e-04	0.4072	0.3356	0.0844	0.1361	
134	1.4875	0.6492	0.012	1.26	0.3177	
135	1.5736	0.0346	0.0751	0.6512	2.1128	
136	0.134	0.0448	0.7444	0.0102	0.0163	
137	0.2709	0.0615	0.0384	0.002	6e-04	
138	0.3788	0.1145	0.6849	0.0057	0.4061	
139	0.6061	0.1665	0.6934	0.0336	0.0456	
140	0.5258	0.0484	0.0323	0.0243	0.0014	
141	3.1604	0.0064	1.0647	0.3392	0.2859	
142	1.8643	0	0.5604	0.5172	0.1409	
143	6e-04	0.0325	0.8801	0.0795	0.0674	
144	0.2711	0.3853	0.044	0.1761	1.2348	
145	0.0294	0.3345	0.2237	0.0164	0.0352	
146	1.9759	0.4722	0.5427	0.1842	0.5887	
147	0.0681	0.028	0.0651	0.2296	0	
148	0.0024	0.0762	1.4661	0.0721	0.1918	
149	0.5214	0.0024	0.3167	0.5999	0.4214	
150	0.0851	0.2635	0.0049	1e-04	0.2944	
151	0.9315	0.129	0.7962	0	0.37	
152	1e-04	0.0013	0.5727	0.011	0.4234	
153	5e-04	0.0813	1.4628	0.2887	0.089	
154	2e-04	0.0065	0.1487	0.0082	0.0368	
155	0.3534	0.5636	0.0407	0.0231	0.0115	
156	0.2574	2.4052	0.391	0.249	0.0431	
157	1.0643	0.312	0.2013	0.1594	0.2222	
158	1.4868	0.1515	0.8052	0.097	0.3284	
159	1.5115	1.119	0.0025	0.2418	0.132	
160	0.5969	0.0284	0.1011	0.0571	6e-04	
161	0.5974	0.8413	0.0413	0.0881	1.2495	
162	1.4325	0.3839	0.5348	0.7116	2.1598	
163	0.0854	0.1035	0.0621	0	0.0144	
164	0.0889	0.8184	0.5512	0.0345	0.44	
165	0.0185	0.023	1.1411	0.0047	1.178	
166	0.2356	0.0342	0.4508	0.005	0.001	
167	0.299	0.0253	0.5121	0.0903	0.0151	
168	0.0163	0.2411	0.4944	0.134	0.5475	
169	0	0.0176	0.0241	0.0322	0.0897	
170	0.2101	1.2733	0.2756	1.2192	0.0295	
171	0.8722	0.688	0.1199	0.0279	0.1112	
172	0.269	0.1097	0.0687	0.0481	0.1694	
173	1.5264	0.3333	0.0646	0.0869	0.073	
174	0.0527	0.0885	0	0.0999	0.3952	
175	0.9915	0.1366	1.2425	0.0992	0.0587	
176	0.3619	0.1097	0.7427	0.0362	0.0337	
177	0.1298	0.0062	0.1319	0.6333	0.0233	
178	0.4997	0.269	1.0879	6.5812	1.9808	
179	0.0381	0.0045	1.1111	0.1497	0.0702	
180	0.2253	0.0768	0.9908	0.0087	0.0938	
181	0.0091	0.0848	2.8534	0.0306	3e-04	
182	0.2174	0.7374	0.7396	0.0042	1.1821	
183	0.0128	0.0068	0.0626	0.2587	0.5504	
184	0.1845	0.0197	0.4446	0.0745	0.122	
185	0.0971	0.8498	0.8344	0.0055	0.0448	
186	0.0255	2.6251	0.1445	0.4309	0.6078	
187	0.1135	0.0747	0.1074	0.0034	0.0868	
188	0.0248	0.1164	0.9049	0.0399	0.0629	
189	0.3099	0.1086	0.2374	0.0722	0.5229	
190	6e-04	0.2268	0.0406	0.1626	0.518	
191	0.0658	1.7774	0.1142	0.0914	0.4998	
192	0.2732	0.7196	0.2086	0.3222	0.2636	
193	1.4671	0.0342	0.0022	0.7803	0.1381	
194	1.2825	0.2788	0.4197	0.0389	0.2079	
195	0.0028	0.4843	0.4641	7e-04	0.1361	
196	0.0419	0.7392	0.0354	0.0011	0.2135	
197	2.1471	0.026	0.9406	0.012	0.1685	
198	0.028	1.6375	0.1754	0.0492	1.4376	
199	1.9905	0.106	0.5314	0.0059	0.7324	
200	1.4203	0.5291	3.994	0.0193	0.1467	

dist
2.432203	3.748699	2.905869	3.548704	2.553613	2.050588	2.515112	3.710822	2.59223	2.304565	3.658832	1.613871	3.422989	2.241805	3.099431	2.91384	1.961095	1.547952	3.420033	1.889814	2.828538	2.629308	2.140989	3.553326	2.085576	3.544331	3.137595	1.882158	2.821344	2.898239	2.486929	1.509384	1.887297	2.615808	2.787242	2.511923	3.475174	2.157289	2.587715	3.632357	3.318706	5.89075	4.377725	2.392831	3.012338	3.645505	1.870263	12.42778	2.984911	1.629958	6.019767	2.405489	3.032695	2.768824	3.830736	5.692647	4.522453	3.074335	3.785707	3.637333	2.366363	3.304516	3.648007	2.18365	3.434351	2.159057	2.263722	3.711849	2.440139	1.581864	2.127696	3.748699	2.349541	2.038048	2.844068	3.972274	1.92269	1.494078	3.168912	4.36122	1.752175	2.21235	2.634077	2.329577	2.956232	2.967688	3.236022	2.795399	1.985133	6.022979	4.410019	3.99485	1.8821	3.610627	2.846295	1.835465	2.418889	3.44468	2.411038	2.390105	1.607075	10.25393	2.383292	3.410087	3.608183	2.986359	4.893859	3.859542	4.414964	2.100686	4.32005	2.791287	3.348776	2.775693	1.747392	4.005393	2.346026	2.866818	2.341277	2.367914	3.459282	2.358647	2.95677	1.295642	6.739217	1.437745	2.762817	2.445477	4.741922	2.189848	5.510094	1.859744	2.14435	4.342833	4.263318	2.092206	1.689254	3.037071	3.033946	2.307229	5.090148	4.039894	2.084408	2.558548	2.101381	4.283597	2.213423	2.520361	2.679882	2.105649	3.490679	1.916925	2.677688	1.196439	2.551179	3.842406	3.249655	4.055291	3.869827	2.366936	3.518107	4.712146	1.380264	3.110747	2.882955	1.941567	2.475269	2.345975	0.9347706	4.194337	3.140458	1.777065	3.5805	2.104033	3.839004	2.561637	2.376904	6.082778	2.460541	2.461182	3.382523	3.490691	1.936022	2.078297	2.722649	4.13506	1.501912	2.08597	2.238715	2.113079	3.318573	2.939669	3.530722	3.633944	2.139695	2.741291	4.327766	3.490062	4.189618	5.31509	
svd
vs
1.777976	1.350883	1.290326	1.079276	0.9472318	0.8840041	0.7553073	0.633135	0.56627	0.3963223	0.2373741	
U
   	
	0.5194	0.6611	0.4297	-0.5498	0.9444	
	-0.5726	0.586	-0.7069	-0.8446	3.0743	
	-1.0176	0.8041	0.3742	0.5611	-1.2343	
	1.7305	-0.8135	0.2629	-0.2604	0.5707	
	-0.931	1.0253	-0.0373	-0.0333	-0.6711	
	-0.8911	-0.2784	-0.2712	-0.0537	1.029	
	-1.0045	0.5381	-0.251	0.7155	1.188	
	-0.3438	-1.3105	1.8504	-0.7265	-0.4203	
	-0.6145	-0.278	-1.1027	0.1635	-0.722	
	-0.6213	0.0969	0.0749	1.3411	-0.7708	
	1.7402	0.6896	0.7117	0.2828	-0.3244	
	0.3305	-0.212	-0.1439	-0.4575	0.7105	
	1.277	-0.9947	0.9849	-0.8215	0.7904	
	-0.0224	0.044	-1.2873	-0.1561	0.9329	
	1.1952	-1.0118	0.1801	-0.041	0.7475	
	-0.0341	1.6452	-0.2216	-0.3398	0.0855	
	0.3808	-0.8136	0.0559	0.4164	-1.1496	
	0.1992	0.0012	0.0246	-0.1431	0.3904	
	-1.4795	0.1755	0.5867	-0.5934	-0.0966	
	-0.3475	0.9014	-0.0844	0.0681	-0.8811	
	0.1571	-0.9748	1.5845	0.5969	-0.5205	
	1.0746	-1.0868	-0.1059	-0.1115	0.4313	
	-0.1842	0.0861	-0.3712	-0.0425	-0.1185	
	-1.5067	-0.4964	0.3703	-0.5543	1.5935	
	0.0166	0.4705	0.4317	0.5035	-1.4505	
	-1.5365	0.4835	-0.8517	-0.9368	-0.056	
	-0.8322	-0.7362	-1.764	-0.6541	-0.6407	
	0.2617	-0.6766	-0.1196	0.6847	0.5363	
	-0.9683	-0.9052	-1.1528	0.2213	-0.3758	
	-1.1762	-0.9414	-0.439	-0.6398	0.9779	
	-0.7531	-0.2352	-1.0377	0.3608	0.24	
	-0.1713	-0.46	-0.4703	0.1698	-0.5807	
	0.1069	0.922	-0.3257	0.0474	-1.2003	
	-0.3927	-0.9235	-0.7896	0.3923	-0.9018	
	0.5162	-0.3833	0.024	1.8388	-0.3707	
	0.194	0.0498	-1.6925	-0.3053	-0.1908	
	-1.129	-0.6099	-0.4113	0.7535	1.0376	
	-0.7337	0.059	-0.7214	0.3982	0.066	
	0.1819	1.5664	0.0503	-0.3465	-0.5337	
	1.8109	-0.483	-0.6677	0.5746	-0.4581	
	-1.6703	-0.1794	0.7369	0.098	-0.3937	
	2.7908	1.1637	-0.6851	-1.5494	1.9057	
	-0.9287	-1.6316	-0.2648	-2.0708	0.7652	
	-0.701	-0.7783	-0.9855	-0.7983	0.769	
	-0.9684	1.1366	0.8128	-0.0143	-0.523	
	-0.0707	0.4938	1.6597	0.6614	-1.347	
	0.3832	-0.6458	0.9435	0.3352	-0.0981	
	2.277	1.5028	1.3239	9.4402	4.1523	
	0.0112	-0.8404	2.0083	-0.0369	-0.2414	
	0.4276	-0.8036	-0.3901	-0.0061	-0.08	
	0.9093	3.5016	0.6581	-1.8333	1.8854	
	-0.8724	-1.0423	-0.3176	-0.226	0.2535	
	-0.0066	-0.5456	1.8121	-0.3694	-0.9617	
	0.587	-0.6	0.9142	0.4522	-0.4494	
	-0.0688	2.326	-0.4007	-1.0042	1.0452	
	-1.9908	-1.5889	2.7851	-0.2557	0.915	
	2.1256	-0.1365	-1.3469	-1.1417	-0.6877	
	1.4756	0.1663	-0.1507	-0.6354	0.1352	
	-0.5124	-0.0694	-1.5206	2.1637	1.2929	
	0.7752	-1.75	0.9465	-0.7545	0.3551	
	0.2452	-0.6143	0.889	0.2056	-0.6477	
	0.5648	-0.7167	1.9097	-0.3145	1.4678	
	-0.4233	2.2338	-0.7168	-0.3009	0.346	
	-0.8735	0.2005	-0.7429	0.467	1.0248	
	-0.5034	1.4242	-0.5356	-0.0798	1.378	
	-0.2589	0.8908	-0.7614	-0.364	-0.5789	
	-0.4807	0.7287	-1.1697	-0.2035	0.6191	
	1.9365	-0.7337	-0.2334	-0.0998	-0.0721	
	0.6578	-0.8823	-0.1272	0.7639	-1.1573	
	-0.8035	-0.032	-0.2584	0.158	0.0375	
	-0.4781	0.331	0.1275	0.4124	-0.9582	
	-0.5726	0.586	-0.7069	-0.8446	3.0743	
	-0.7117	0.3991	-1.1704	0.828	-0.2498	
	-0.6084	-0.209	-0.0368	-9e-04	0.0875	
	-0.6233	-0.027	0.0103	1.1516	-0.8898	
	-0.5803	2.3216	0.4374	-0.2375	-1.7011	
	-0.213	-0.1518	-0.2608	0.0474	-0.6341	
	-0.2053	-0.4718	-0.8396	-0.0186	0.4139	
	1.5231	-0.3788	-0.9119	0.1778	-0.7305	
	1.6981	-1.4951	1.0526	1.0305	-0.1738	
	-0.0055	-0.9836	0.1395	-0.3812	0.27	
	-1.0995	0.1283	0.2112	0.0579	0.0773	
	-0.1669	-0.235	1.4437	-0.3485	0.2495	
	-0.4081	1.0407	-0.1826	0.0365	-1.104	
	-0.2388	0.8579	-1.7245	-0.5754	0.5553	
	0.6476	-0.4044	0.2819	0.3138	0.2786	
	-0.9363	0.9881	-1.4076	-0.4142	-0.093	
	-0.6364	0.6123	0.6824	0.1423	-0.2259	
	0.8263	-0.4561	0.0508	0.1349	0.0626	
	0.3497	2.104	1.257	-1.6947	3.2358	
	0.2416	0.9874	2.0374	1.0139	-1.6297	
	1.4919	-1.4352	0.9245	1.0034	-0.1962	
	-0.2979	0.5307	-0.6707	-0.1906	-0.3149	
	1.6413	-0.5903	-1.0681	-0.549	-0.6067	
	0.6401	-0.4292	-1.5468	-1.1244	-0.6478	
	0.469	-0.2489	-0.9066	0.8871	0.2479	
	-0.1766	-0.0291	-1.2376	0.7649	0.5025	
	-1.3469	-1.5132	0.1286	-0.0067	0.3599	
	0.9691	-0.5163	0.0015	0.0276	-1.2931	
	-0.3529	-0.6362	-0.9351	-1.0749	1.071	
	-0.3191	-0.5019	-0.5347	-0.1547	0.8842	
	0.5818	4.3345	4.7013	-3.6865	-0.3284	
	-0.6774	-0.9254	0.7271	0.6603	0.277	
	-0.4259	-0.1644	-1.7157	-0.3051	-0.3747	
	-1.1987	1.2762	0.4183	0.0466	-0.9191	
	1.3466	0.2482	-0.0038	-0.0786	-1.0273	
	1.6151	-0.0037	1.0211	-1.1861	3.4029	
	-1.2199	0.2804	-1.9823	-0.3153	1.7683	
	-0.9124	2.4276	0.1275	-0.1644	-0.5862	
	0.5907	0.2826	0.7908	-0.2228	-0.235	
	2.0956	-0.5737	-0.4025	-0.4248	0.2135	
	0.0618	1.3285	-0.31	0.476	0.1678	
	-1.2621	-0.5071	1.4378	-0.9683	0.2396	
	-0.2024	-0.1464	-0.9335	0.103	-1.3145	
	0.7759	-0.3192	-0.2029	-0.2368	-0.5901	
	1.9027	-0.6618	-0.3433	-0.195	-1.4581	
	0.3514	0.8264	0.896	0.3299	-1.094	
	-1.0242	1.1571	0.1796	0.3694	-1.0112	
	-0.2865	-1.2586	0.8268	-0.55	0.1712	
	-0.4581	1.0803	0.6827	-0.2412	0.7564	
	0.104	1.573	0.292	0.0451	-1.9025	
	0.6443	-0.9074	0.638	0.7194	0.8312	
	-0.6767	-1.1521	0.4078	-0.5839	0.0289	
	0.1991	0.8148	-0.1768	0.0493	0.0656	
	1.0342	3.6597	1.2154	0.6672	2.443	
	-0.3383	-0.0794	-0.6217	0.5864	-0.3559	
	0.2809	-1.3741	1.3245	-0.4371	0.2354	
	0.9369	-0.5198	0.2546	-0.2596	-0.69	
	2.4635	-0.4414	-0.5854	-0.3409	-0.5938	
	0.151	1.0064	-0.2339	-0.3604	0.3714	
	2.3045	0.1014	0.2899	-2.3737	2.1257	
	0.0132	-0.0214	0.0765	0.7085	-1.4322	
	0.0305	-0.9024	-0.8192	0.4108	-0.5218	
	-1.7248	-1.1395	-0.1548	-1.5875	0.7972	
	1.774	0.263	-0.3876	-1.1412	2.0556	
	-0.5176	-0.2995	-1.2201	0.1426	-0.1806	
	-0.7361	-0.3508	-0.2771	0.064	-0.0332	
	-0.8704	0.4785	-1.1704	-0.1067	-0.9012	
	-1.101	-0.5771	1.1776	0.2591	0.3021	
	-1.0255	0.3112	0.254	0.2206	-0.0533	
	2.5141	-0.1133	-1.4592	-0.8236	-0.7561	
	1.931	0.0088	-1.0587	-1.017	-0.5308	
	0.0356	-0.2549	-1.3267	-0.3986	-0.3673	
	-0.7364	0.8778	-0.2965	0.5935	-1.5715	
	0.2424	-0.8179	0.6689	-0.181	-0.2654	
	-1.9879	-0.9718	1.0418	-0.6069	1.0851	
	-0.369	-0.2366	-0.3609	0.6777	0.0015	
	0.0687	-0.3903	1.7124	-0.3796	-0.6193	
	-1.0212	0.0689	0.7959	1.0954	0.918	
	0.4125	-0.7259	-0.0994	0.0134	-0.7674	
	-1.3649	-0.5079	-1.2619	-8e-04	0.8602	
	-0.0161	0.0509	-1.0702	-0.1481	0.9202	
	-0.033	-0.4033	1.7104	0.7599	-0.4219	
	0.0208	-0.1137	-0.5454	0.1284	-0.2711	
	-0.8407	1.0617	-0.2853	0.2149	-0.1516	
	-0.7175	-2.1933	0.8843	-0.7057	0.2936	
	-1.459	-0.7899	0.6345	0.5647	0.6666	
	1.7244	0.5505	-1.269	-0.4404	-0.8105	
	-1.7387	-1.496	-0.071	-0.6954	0.5138	
	-1.0926	0.2384	0.4497	0.3378	-0.0352	
	1.0931	1.2971	-0.2873	-0.4196	-1.5808	
	1.6927	-0.8762	1.0342	-1.1929	2.0784	
	-0.4133	0.4551	-0.3525	0.0044	-0.1699	
	-0.4216	1.2794	-1.05	-0.2629	-0.9381	
	0.1924	-0.2143	1.5107	0.0973	-1.5349	
	-0.6864	-0.2617	-0.9495	-0.1002	-0.045	
	-0.7733	-0.2249	-1.012	0.425	0.1736	
	-0.1803	0.6943	-0.9944	-0.5177	-1.0464	
	0.0042	0.1877	-0.2194	-0.2539	0.4237	
	0.6483	-1.5958	0.7424	1.5616	-0.2429	
	1.3207	-1.173	0.4897	-0.236	0.4715	
	-0.7335	-0.4684	0.3707	0.3101	-0.5821	
	1.7472	-0.8164	-0.3595	0.417	-0.382	
	0.3247	0.4207	0.0065	0.447	-0.889	
	-1.4082	0.5228	1.5764	0.4455	-0.3427	
	-0.8507	0.4685	-1.2188	0.2692	0.2598	
	0.5096	-0.1109	-0.5137	-1.1254	-0.2158	
	-0.9997	0.7335	-1.4751	3.628	1.9904	
	0.2759	-0.0948	-1.4907	-0.5472	0.3747	
	-0.6713	0.392	-1.4077	-0.132	0.433	
	0.1352	-0.4118	2.3889	0.2474	-0.0239	
	-0.6594	1.2144	1.2162	0.0914	-1.5376	
	-0.1597	-0.1165	-0.354	0.7193	-1.0492	
	-0.6075	0.1987	-0.9429	0.3859	-0.494	
	0.4407	-1.3037	1.2918	0.1047	-0.2994	
	0.2259	2.2914	0.5376	0.9284	-1.1025	
	0.4765	-0.3866	0.4634	-0.0822	-0.4167	
	-0.2225	0.4824	1.3453	0.2825	-0.3546	
	-0.7872	0.466	-0.6891	0.38	-1.0226	
	-0.036	0.6734	-0.285	0.5702	-1.0179	
	-0.3628	-1.8854	0.4779	-0.4276	-0.9998	
	-0.7392	-1.1996	-0.6459	-0.8028	0.7261	
	1.7129	0.2614	0.0659	1.2492	-0.5256	
	-1.6016	-0.7467	-0.9162	-0.279	0.6449	
	-0.0749	-0.9842	0.9635	0.0364	-0.5218	
	0.2894	-1.2159	0.2661	0.0477	0.6534	
	2.0722	0.2279	-1.3716	-0.155	-0.5804	
	-0.2368	1.8097	0.5923	0.3137	-1.6956	
	1.9953	-0.4604	-1.031	0.1086	-1.2102	
	-1.6854	-1.0287	2.8263	-0.1965	0.5416	

V
   	
	0.4964	-0.0123	-0.1401	-0.1906	-0.073	
	-0.2468	0.2651	-0.453	-0.1127	0.3024	
	0.4761	-0.0619	0.2379	-0.0492	-0.0631	
	0.1376	0.3676	0.1778	-0.4099	0.612	
	0.0979	0.1829	-0.0498	0.6837	0.4448	
	-0.1591	0.4771	0.37	0.0721	-0.241	
	-0.0351	0.5769	0.314	-0.0532	-0.2486	
	0.4101	0.2406	-0.27	-0.015	0.1059	
	-0.4307	-0.0702	0.0996	0.0704	0.1964	
	0.2251	-0.1244	0.3828	0.444	0.1616	
	-0.0805	-0.3441	0.4686	-0.3205	0.3619	

quanti.sup
coord
   	Dim.1	Dim.2	Dim.3	Dim.4	Dim.5	
quality	0.1483	-0.2405	0.504	-0.1402	0.1264	

cor
   	Dim.1	Dim.2	Dim.3	Dim.4	Dim.5	
quality	0.1483	-0.2405	0.504	-0.1402	0.1264	

cos2
   	Dim.1	Dim.2	Dim.3	Dim.4	Dim.5	
quality	0.022	0.0579	0.254	0.0197	0.016	

